,city,date,fare,ride_id,driver_count,type,,,,,,,
0,Lake Jonathanshire,1/14/2018 10:14,13.83,5.74E+12,5,Urban,,Row Labels,Sum of driver_count,,,,
1,South Michelleport,3/4/2018 18:24,30.24,2.34E+12,72,Urban,,Rural,537,,Rural,537,0.8%
2,Port Samanthamouth,2/24/2018 4:29,33.44,2.01E+12,57,Urban,,Suburban,8570,,Suburban,8570,12.5%
3,Rodneyfort,2/10/2018 23:22,23.44,5.15E+12,34,Urban,,Urban,59602,,Urban,59602,86.7%
4,South Jack,3/6/2018 4:28,34.58,3.91E+12,46,Urban,,Grand Total,68709,,,68709,
5,South Latoya,3/11/2018 12:26,9.52,2.00E+12,10,Urban,,,,,,,
6,New Paulville,2/27/2018 11:17,43.25,7.93E+11,44,Urban,,,,,,,
7,Simpsonburgh,4/26/2018 0:43,35.98,1.12E+11,21,Urban,,,,,,,
8,South Karenland,1/8/2018 3:28,35.09,8.00E+12,4,Urban,,,,,,,
9,North Jasmine,3/9/2018 6:26,42.81,5.33E+12,33,Urban,,,,,,,
10,New Kimberlyborough,2/7/2018 1:10,9.34,7.99E+12,33,Urban,,,,,,,
11,West Angela,1/12/2018 1:45,26.86,4.82E+12,48,Urban,,,,,,,
12,Rodneyfort,3/2/2018 18:03,44.26,2.49E+12,34,Urban,,,,,,,
13,West Angela,1/10/2018 12:17,12.74,2.11E+12,48,Urban,,,,,,,
14,Roberthaven,5/4/2018 14:48,25.66,1.03E+12,47,Urban,,,,,,,
15,North Jason,3/28/2018 22:28,9.19,7.01E+12,6,Urban,,,,,,,
16,Williamsview,1/3/2018 16:19,18.93,1.98E+12,46,Urban,,,,,,,
17,Leahton,2/26/2018 18:42,8.85,6.97E+12,17,Urban,,,,,,,
18,West Anthony,3/6/2018 2:27,10.02,9.40E+12,70,Urban,,,,,,,
19,New Kimberlyborough,4/25/2018 22:58,29.67,4.82E+12,33,Urban,,,,,,,
20,Roberthaven,2/24/2018 10:26,7.8,2.18E+12,47,Urban,,,,,,,
21,New Paulton,5/1/2018 3:12,8.28,8.53E+12,44,Urban,,,,,,,
22,West Patrickchester,3/19/2018 5:46,40.86,8.99E+11,25,Urban,,,,,,,
23,Deanville,4/25/2018 3:29,41.52,6.06E+12,49,Urban,,,,,,,
24,West Josephberg,2/19/2018 16:22,36.39,3.32E+12,45,Urban,,,,,,,
25,West Samuelburgh,5/3/2018 14:33,41.12,7.33E+12,73,Urban,,,,,,,
26,West Heidi,3/14/2018 23:46,24.4,4.91E+12,28,Urban,,,,,,,
27,Loganberg,4/1/2018 1:06,8.23,6.79E+11,23,Urban,,,,,,,
28,Huntermouth,2/10/2018 23:32,25.79,1.88E+12,37,Urban,,,,,,,
29,South Latoya,1/11/2018 18:44,27.41,8.66E+12,10,Urban,,,,,,,
30,New Paulville,3/18/2018 22:54,25.05,5.03E+12,44,Urban,,,,,,,
31,Grahamburgh,1/15/2018 11:44,40.69,3.07E+11,61,Urban,,,,,,,
32,Port Frank,2/2/2018 14:14,41.47,6.75E+12,23,Urban,,,,,,,
33,East Kaylahaven,2/28/2018 4:13,25.96,3.66E+12,65,Urban,,,,,,,
34,Rodneyfort,2/3/2018 0:48,44.86,2.33E+12,34,Urban,,,,,,,
35,South Karenland,2/12/2018 6:52,36.01,4.02E+12,4,Urban,,,,,,,
36,West Robert,2/15/2018 4:21,12.28,1.44E+12,39,Urban,,,,,,,
37,North Markport,2/18/2018 8:17,38.09,9.25E+11,22,Urban,,,,,,,
38,Williamsview,3/12/2018 6:47,8.35,1.94E+12,46,Urban,,,,,,,
39,Richardfort,2/24/2018 8:40,13.93,5.63E+12,38,Urban,,,,,,,
40,New Kimberlyborough,3/14/2018 16:47,27.9,6.75E+12,33,Urban,,,,,,,
41,Reynoldsfurt,3/25/2018 14:33,34.06,6.60E+12,67,Urban,,,,,,,
42,South Karenland,5/8/2018 2:31,41.33,5.69E+12,4,Urban,,,,,,,
43,Rodneyfort,4/25/2018 20:57,21.7,8.53E+12,34,Urban,,,,,,,
44,Justinberg,4/23/2018 8:59,14.65,9.88E+12,39,Urban,,,,,,,
45,West Josephberg,3/5/2018 3:27,12.91,1.03E+11,45,Urban,,,,,,,
46,South Karenland,3/3/2018 14:48,37.3,4.10E+12,4,Urban,,,,,,,
47,Leahton,5/5/2018 10:34,17.05,5.85E+12,17,Urban,,,,,,,
48,Martinezhaven,3/19/2018 15:31,5.3,2.64E+11,25,Urban,,,,,,,
49,North Jason,3/3/2018 2:13,28.02,2.67E+12,6,Urban,,,,,,,
50,Jerryton,3/3/2018 17:50,28.08,6.00E+12,64,Urban,,,,,,,
51,Lake Scottton,2/18/2018 9:22,25.02,3.91E+12,58,Urban,,,,,,,
52,South Evanton,2/14/2018 5:55,42.5,9.95E+12,11,Urban,,,,,,,
53,Rogerston,5/8/2018 1:54,32.69,1.64E+12,25,Urban,,,,,,,
54,West Samuelburgh,5/2/2018 13:55,38.77,2.93E+12,73,Urban,,,,,,,
55,West Ericstad,4/24/2018 3:20,7.31,4.29E+12,25,Urban,,,,,,,
56,New Paulville,3/10/2018 10:45,4.43,1.21E+12,44,Urban,,,,,,,
57,Hurleymouth,5/4/2018 21:50,21.44,4.04E+12,36,Urban,,,,,,,
58,West Samuelburgh,3/3/2018 3:17,25.17,1.78E+12,73,Urban,,,,,,,
59,Joneschester,3/1/2018 18:48,34.71,3.34E+12,39,Urban,,,,,,,
60,New Paulville,4/3/2018 7:51,32.7,9.56E+12,44,Urban,,,,,,,
61,Simpsonburgh,1/19/2018 23:06,15.83,2.33E+11,21,Urban,,,,,,,
